,Category,1Order,2Orders,3Orders,4Orders,5Orders,MoreOrders
0,,3579,422,115,36,27,47
1,交通租賃,60,6,3,0,0,0
2,休息,23109,8433,4627,3162,2273,11267
3,住宿,8254,1993,766,405,217,677
4,女性,2586,532,207,88,60,109
5,展覽商品,305,0,0,0,0,0
6,按摩,12512,2717,1123,609,371,957
7,旅遊,41,0,0,0,0,0
8,景點門票,33,2,0,0,0,0
9,機場接送/相關/貴賓室,751,140,46,27,19,28
10,沖繩住行,2,0,0,0,0,0
11,派對,924,29,3,0,0,0
12,特約活動,53,4,5,1,3,3
13,玩樂體驗,1,0,0,0,0,0
14,網卡 / Wifi 機,784,41,9,3,1,0
15,美髮,857,162,62,23,14,19
16,酒吧,995,151,35,13,12,10
17,餐廳,10124,1581,525,250,167,465
18,髒資料 - 無法分類,13,0,0,0,0,0
19,體能戶外,399,32,7,2,0,1
